,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
1446,121,153,10,3,4.0,-1.0,632.0,633.0,-1.0
1447,121,154,10,2,4.0,-2.0,598.0,659.0,-61.0
1448,121,154,30,8,10.0,-2.0,675.0,650.25,24.75
1449,121,154,31,10,9.7,0.3,638.0,644.1,-6.1
1450,121,154,42,1,2.0,-1.0,704.0,708.0,-4.0
1451,121,155,31,11,8.90909090909,2.09090909091,586.0,626.363636364,-40.3636363636
1452,121,155,32,9,9.33333333333,-0.333333333333,628.0,609.888888889,18.1111111111
1453,121,156,31,6,9.16666666667,-3.16666666667,537.0,617.166666667,-80.1666666667
1454,121,162,14,2,1.5,0.5,717.0,630.0,87.0
1455,121,174,9,1,1.0,0.0,664.0,651.0,13.0
1456,121,216,29,1,1.0,0.0,619.0,642.0,-23.0
1457,122,82,32,1,3.0,-2.0,603.0,664.0,-61.0
1458,122,87,32,1,3.0,-2.0,729.0,667.0,62.0
1459,122,101,32,5,5.0,0.0,764.0,653.6,110.4
1460,122,102,31,6,4.33333333333,1.66666666667,809.0,702.333333333,106.666666667
1461,122,104,33,4,4.5,-0.5,638.0,613.75,24.25
1462,122,105,36,2,6.0,-4.0,671.0,737.0,-66.0
1463,122,106,28,2,4.5,-2.5,653.0,648.0,5.0
1464,122,106,34,6,6.83333333333,-0.833333333333,610.0,648.0,-38.0
1465,122,106,36,4,7.0,-3.0,709.0,698.75,10.25
1466,122,107,28,4,4.75,-0.75,655.0,643.25,11.75
1467,122,107,34,4,7.75,-3.75,726.0,641.5,84.5
1468,122,108,28,5,5.8,-0.8,631.0,638.6,-7.6
1469,122,109,28,5,7.0,-2.0,622.0,621.6,0.4
1470,122,110,28,7,7.28571428571,-0.285714285714,600.0,629.714285714,-29.7142857143
1471,122,111,28,9,7.77777777778,1.22222222222,629.0,656.444444444,-27.4444444444
1472,122,112,23,4,5.5,-1.5,734.0,714.0,20.0
1473,122,112,28,10,7.9,2.1,666.0,660.6,5.4
1474,122,113,23,6,5.5,0.5,702.0,756.0,-54.0
1475,122,113,28,9,8.22222222222,0.777777777778,651.0,675.0,-24.0
1476,122,114,23,6,5.33333333333,0.666666666667,789.0,760.333333333,28.6666666667
1477,122,114,28,8,7.875,0.125,702.0,663.875,38.125
1478,122,115,24,4,5.0,-1.0,837.0,757.5,79.5
1479,122,115,28,7,7.0,0.0,739.0,661.0,78.0
1480,122,116,28,5,6.8,-1.8,667.0,680.2,-13.2
1481,122,116,35,3,6.0,-3.0,546.0,604.666666667,-58.6666666667
1482,122,117,35,5,4.8,0.2,595.0,607.8,-12.8
1483,122,118,35,4,5.0,-1.0,627.0,614.75,12.25
1484,122,119,24,4,5.0,-1.0,634.0,707.25,-73.25
1485,122,120,29,5,6.6,-1.6,636.0,667.6,-31.6
1486,122,121,29,5,5.2,-0.2,636.0,635.4,0.6
1487,122,122,30,5,6.0,-1.0,612.0,644.2,-32.2
1488,122,124,31,5,9.6,-4.6,560.0,550.0,10.0
1489,122,125,31,7,7.85714285714,-0.857142857143,535.0,560.428571429,-25.4285714286
1490,122,127,32,4,5.75,-1.75,594.0,562.5,31.5
1491,122,130,20,1,1.0,0.0,849.0,824.0,25.0
1492,122,132,33,4,5.0,-1.0,608.0,730.5,-122.5
1493,122,133,20,2,3.0,-1.0,776.0,758.0,18.0
1494,122,133,33,6,6.66666666667,-0.666666666667,714.0,740.0,-26.0
1495,122,134,33,8,7.75,0.25,783.0,760.75,22.25
1496,122,134,35,3,3.66666666667,-0.666666666667,663.0,618.666666667,44.3333333333
1497,122,135,33,9,9.33333333333,-0.333333333333,778.0,727.333333333,50.6666666667
1498,122,135,35,3,3.0,0.0,627.0,628.666666667,-1.66666666667
1499,122,136,33,9,9.88888888889,-0.888888888889,689.0,726.888888889,-37.8888888889
1500,122,136,35,2,2.5,-0.5,626.0,633.5,-7.5
1501,122,137,33,9,9.88888888889,-0.888888888889,726.0,712.444444444,13.5555555556
1502,122,138,33,9,9.55555555556,-0.555555555556,721.0,727.111111111,-6.11111111111
1503,122,139,33,10,9.0,1.0,717.0,737.8,-20.8
1504,122,140,33,10,8.3,1.7,799.0,725.9,73.1
1505,122,141,33,8,7.5,0.5,804.0,767.125,36.875
1506,122,142,33,6,6.83333333333,-0.833333333333,872.0,767.5,104.5
1507,122,144,32,6,9.0,-3.0,693.0,820.333333333,-127.333333333
1508,122,144,33,9,7.33333333333,1.66666666667,842.0,759.222222222,82.7777777778
1509,122,145,32,6,8.83333333333,-2.83333333333,779.0,780.666666667,-1.66666666667
1510,122,146,12,6,4.5,1.5,628.0,655.5,-27.5
1511,122,146,13,5,5.4,-0.4,695.0,643.8,51.2
1512,122,146,34,4,5.75,-1.75,709.0,693.75,15.25
1513,122,147,11,1,6.0,-5.0,647.0,628.0,19.0
1514,122,147,13,5,5.0,0.0,752.0,670.8,81.2
1515,122,147,34,3,3.33333333333,-0.333333333333,638.0,641.666666667,-3.66666666667
1516,122,148,13,2,5.5,-3.5,774.0,690.0,84.0
1517,122,148,27,2,3.0,-1.0,669.0,676.0,-7.0
1518,122,148,31,3,6.0,-3.0,692.0,681.0,11.0
1519,122,149,31,5,6.2,-1.2,648.0,663.4,-15.4
1520,122,150,11,3,8.66666666667,-5.66666666667,601.0,623.0,-22.0
1521,122,150,13,6,7.83333333333,-1.83333333333,760.0,650.166666667,109.833333333
1522,122,150,31,7,7.14285714286,-0.142857142857,570.0,647.857142857,-77.8571428571
1523,122,151,11,5,7.4,-2.4,634.0,602.6,31.4
1524,122,151,12,10,6.4,3.6,610.0,646.3,-36.3
1525,122,151,13,7,7.71428571429,-0.714285714286,672.0,650.142857143,21.8571428571
1526,122,151,31,9,7.77777777778,1.22222222222,564.0,638.666666667,-74.6666666667
1527,122,151,33,3,6.33333333333,-3.33333333333,574.0,630.0,-56.0
1528,122,152,11,5,7.4,-2.4,615.0,612.6,2.4
1529,122,152,31,10,8.5,1.5,584.0,639.8,-55.8
1530,122,153,9,5,2.8,2.2,686.0,601.6,84.4
1531,122,153,31,12,9.16666666667,2.83333333333,643.0,643.25,-0.25
1532,122,154,31,12,9.33333333333,2.66666666667,665.0,628.666666667,36.3333333333
1533,122,154,32,10,9.8,0.2,574.0,630.6,-56.6
1534,122,155,31,10,8.9,1.1,588.0,625.8,-37.8
1535,122,162,14,1,2.0,-1.0,606.0,717.0,-111.0
1536,122,174,9,1,1.0,0.0,651.0,664.0,-13.0
1537,122,187,11,0,,,717.0,,
1538,122,216,29,1,1.0,0.0,642.0,619.0,23.0
1539,123,101,32,4,5.5,-1.5,674.0,689.0,-15.0
1540,123,102,31,5,4.8,0.2,578.0,747.6,-169.6
1541,123,103,31,3,5.33333333333,-2.33333333333,886.0,729.333333333,156.666666667
1542,123,104,33,3,4.66666666667,-1.66666666667,554.0,652.0,-98.0
1543,123,105,33,5,5.4,-0.4,684.0,647.0,37.0
1544,123,107,28,5,5.0,0.0,641.0,651.8,-10.8
1545,123,107,34,6,7.83333333333,-1.83333333333,685.0,704.5,-19.5
1546,123,108,28,7,6.0,1.0,648.0,643.428571429,4.57142857143
1547,123,109,28,8,6.875,1.125,627.0,633.5,-6.5
1548,123,109,34,3,7.33333333333,-4.33333333333,696.0,677.666666667,18.3333333333
1549,123,110,28,8,7.5,0.5,602.0,632.75,-30.75
1550,123,111,28,8,7.875,0.125,654.0,639.25,14.75
1551,123,112,23,6,5.0,1.0,693.0,696.5,-3.5
1552,123,112,28,8,7.75,0.25,694.0,647.0,47.0
1553,123,113,23,7,5.71428571429,1.28571428571,704.0,735.142857143,-31.1428571429
1554,123,113,28,8,7.375,0.625,646.0,661.625,-15.625
1555,123,114,24,7,5.57142857143,1.42857142857,859.0,738.0,121.0
1556,123,114,28,8,7.0,1.0,652.0,662.875,-10.875
1557,123,115,24,5,5.8,-0.8,703.0,779.4,-76.4
1558,123,115,28,8,6.125,1.875,663.0,659.25,3.75
1559,123,116,28,5,6.2,-1.2,623.0,665.0,-42.0
1560,123,117,24,4,8.0,-4.0,646.0,687.0,-41.0
1561,123,118,24,6,7.0,-1.0,673.0,681.5,-8.5
1562,123,119,24,6,7.16666666667,-1.16666666667,706.0,701.0,5.0
1563,123,119,35,4,5.0,-1.0,601.0,591.25,9.75
1564,123,120,24,6,6.0,0.0,771.0,694.833333333,76.1666666667
1565,123,120,35,5,5.2,-0.2,640.0,598.6,41.4
1566,123,121,24,3,6.66666666667,-3.66666666667,734.0,715.0,19.0
1567,123,121,35,4,6.25,-2.25,674.0,622.25,51.75
1568,123,122,29,4,7.5,-3.5,653.0,596.5,56.5
1569,123,122,31,6,7.83333333333,-1.83333333333,776.0,643.666666667,132.333333333
1570,123,123,30,10,8.2,1.8,533.0,624.6,-91.6
1571,123,124,30,10,10.4,-0.4,492.0,586.0,-94.0
1572,123,124,31,11,10.0909090909,0.909090909091,607.0,585.454545455,21.5454545455
1573,123,125,31,10,9.5,0.5,583.0,570.9,12.1
1574,123,126,31,8,8.375,-0.375,525.0,574.75,-49.75
1575,123,126,32,7,8.0,-1.0,518.0,581.0,-63.0
1576,123,127,32,4,6.75,-2.75,569.0,559.25,9.75
1577,123,129,16,1,1.0,0.0,728.0,663.0,65.0
1578,123,129,17,1,1.0,0.0,663.0,728.0,-65.0
1579,123,129,20,1,1.0,0.0,824.0,849.0,-25.0
1580,123,131,24,2,2.5,-0.5,555.0,745.0,-190.0
1581,123,131,35,3,4.0,-1.0,657.0,605.666666667,51.3333333333
1582,123,132,22,0,,,850.0,,
1583,123,133,20,3,2.66666666667,0.333333333333,796.0,773.333333333,22.6666666667
1584,123,133,33,6,7.0,-1.0,777.0,698.333333333,78.6666666667
1585,123,133,35,4,3.0,1.0,632.0,597.75,34.25
1586,123,134,18,1,4.0,-3.0,764.0,691.0,73.0
1587,123,134,21,3,2.66666666667,0.333333333333,720.0,798.666666667,-78.6666666667
1588,123,134,33,8,9.75,-1.75,870.0,746.5,123.5
1589,123,134,35,4,3.0,1.0,597.0,613.75,-16.75
