,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
3501,231,260,191,13.0,18.076923076923077,-5.076923076923077,141.0,150.15384615384616,-9.15384615384616
3502,231,260,192,15.0,21.2,-6.199999999999999,148.0,156.13333333333333,-8.133333333333326
3503,231,260,193,20.0,22.1,-2.1000000000000014,156.0,160.4,-4.400000000000006
3504,231,260,194,23.0,24.17391304347826,-1.1739130434782616,165.0,165.04347826086956,-0.043478260869562746
3505,231,260,195,26.0,24.96153846153846,1.03846153846154,170.0,167.5,2.5
3506,231,260,196,26.0,25.076923076923077,0.9230769230769234,171.0,169.1153846153846,1.8846153846153868
3507,231,260,197,24.0,24.0,0.0,170.0,168.91666666666666,1.0833333333333428
3508,231,260,198,22.0,22.681818181818183,-0.6818181818181834,168.0,167.9090909090909,0.09090909090909349
3509,231,260,199,22.0,22.40909090909091,-0.40909090909091006,166.0,165.13636363636363,0.863636363636374
3510,231,260,200,24.0,22.083333333333332,1.9166666666666679,163.0,160.58333333333334,2.416666666666657
3511,231,260,201,23.0,21.869565217391305,1.1304347826086953,156.0,155.91304347826087,0.08695652173912549
3512,231,260,202,20.0,18.95,1.0500000000000007,145.0,148.7,-3.6999999999999886
3513,231,260,203,11.0,17.545454545454547,-6.545454545454547,134.0,144.54545454545453,-10.545454545454533
3514,231,261,192,13.0,18.384615384615383,-5.384615384615383,142.0,151.46153846153845,-9.461538461538453
3515,231,261,193,20.0,19.1,0.8999999999999986,149.0,153.65,-4.650000000000006
3516,231,261,194,23.0,21.52173913043478,1.4782608695652186,157.0,157.8695652173913,-0.8695652173913118
3517,231,261,195,26.0,22.26923076923077,3.73076923076923,162.0,160.30769230769232,1.6923076923076792
3518,231,261,196,26.0,21.923076923076923,4.076923076923077,164.0,162.3846153846154,1.6153846153846132
3519,231,261,197,22.0,20.954545454545453,1.0454545454545467,163.0,162.72727272727272,0.2727272727272805
3520,231,261,200,22.0,17.59090909090909,4.40909090909091,155.0,153.77272727272728,1.2272727272727195
3521,231,261,201,20.0,17.4,2.6000000000000014,148.0,150.85,-2.8499999999999943
3522,231,262,192,7.0,17.857142857142858,-10.857142857142858,137.0,149.85714285714286,-12.857142857142861
3523,231,262,193,13.0,18.076923076923077,-5.076923076923077,143.0,150.53846153846155,-7.538461538461547
3524,231,262,194,15.0,20.666666666666668,-5.666666666666668,150.0,154.46666666666667,-4.466666666666669
3525,231,262,195,17.0,21.352941176470587,-4.352941176470587,156.0,156.8235294117647,-0.8235294117646959
3526,231,262,196,17.0,20.764705882352942,-3.764705882352942,159.0,159.1764705882353,-0.17647058823530415
3527,231,262,197,13.0,20.0,-7.0,158.0,159.30769230769232,-1.3076923076923208
3528,231,262,200,13.0,15.538461538461538,-2.5384615384615383,148.0,149.23076923076923,-1.2307692307692264
3529,231,262,201,11.0,15.363636363636363,-4.363636363636363,142.0,148.45454545454547,-6.4545454545454675
3530,232,247,196,7.0,14.142857142857142,-7.142857142857142,153.0,163.85714285714286,-10.857142857142861
3531,232,247,197,7.0,14.142857142857142,-7.142857142857142,163.0,162.42857142857142,0.5714285714285836
3532,232,248,196,15.0,15.533333333333333,-0.5333333333333332,161.0,165.6,-4.599999999999994
3533,232,248,197,13.0,15.23076923076923,-2.23076923076923,166.0,164.6153846153846,1.3846153846153868
3534,232,249,194,7.0,19.571428571428573,-12.571428571428573,158.0,172.85714285714286,-14.857142857142861
3535,232,249,195,15.0,19.733333333333334,-4.733333333333334,164.0,170.06666666666666,-6.066666666666663
3536,232,249,196,19.0,19.36842105263158,-0.36842105263157876,168.0,170.1578947368421,-2.1578947368421098
3537,232,249,197,15.0,19.133333333333333,-4.133333333333333,170.0,169.33333333333334,0.6666666666666572
3538,232,249,200,13.0,17.23076923076923,-4.23076923076923,165.0,161.07692307692307,3.923076923076934
3539,232,249,201,19.0,17.63157894736842,1.3684210526315788,156.0,156.89473684210526,-0.8947368421052602
3540,232,249,202,18.0,18.0,0.0,145.0,147.61111111111111,-2.6111111111111143
3541,232,249,203,13.0,17.384615384615383,-4.384615384615383,135.0,142.23076923076923,-7.230769230769226
3542,232,250,194,15.0,19.733333333333334,-4.733333333333334,168.0,173.93333333333334,-5.933333333333337
3543,232,250,195,22.0,20.772727272727273,1.2272727272727266,172.0,173.1818181818182,-1.181818181818187
3544,232,250,196,24.0,20.916666666666668,3.083333333333332,175.0,173.91666666666666,1.0833333333333428
3545,232,250,197,18.0,20.38888888888889,-2.3888888888888893,176.0,173.77777777777777,2.2222222222222285
3546,232,250,200,18.0,18.27777777777778,-0.27777777777777857,164.0,160.44444444444446,3.555555555555543
3547,232,250,201,26.0,18.884615384615383,7.115384615384617,156.0,155.26923076923077,0.7307692307692264
3548,232,250,202,26.0,18.923076923076923,7.076923076923077,147.0,146.84615384615384,0.1538461538461604
3549,232,250,203,20.0,18.1,1.8999999999999986,138.0,142.8,-4.800000000000011
3550,232,251,192,7.0,18.428571428571427,-11.428571428571427,162.0,176.42857142857142,-14.428571428571416
3551,232,251,193,15.0,19.0,-4.0,171.0,175.73333333333332,-4.73333333333332
3552,232,251,194,19.0,22.42105263157895,-3.4210526315789487,176.0,178.0,-2.0
3553,232,251,195,24.0,23.458333333333332,0.5416666666666679,180.0,178.20833333333334,1.7916666666666572
3554,232,251,196,25.0,23.32,1.6799999999999997,182.0,178.84,3.1599999999999966
3555,232,251,197,19.0,22.57894736842105,-3.5789473684210513,181.0,178.8421052631579,2.1578947368421098
3556,232,251,200,19.0,20.63157894736842,-1.6315789473684212,162.0,160.10526315789474,1.8947368421052602
3557,232,251,201,26.0,20.96153846153846,5.03846153846154,154.0,154.46153846153845,-0.4615384615384528
3558,232,251,202,26.0,20.307692307692307,5.692307692307693,147.0,147.03846153846155,-0.03846153846154721
3559,232,251,203,20.0,19.45,0.5500000000000007,140.0,143.85,-3.8499999999999943
3560,232,252,192,11.0,18.363636363636363,-7.363636363636363,168.0,176.72727272727272,-8.72727272727272
3561,232,252,193,20.0,19.45,0.5500000000000007,176.0,177.3,-1.3000000000000114
3562,232,252,194,23.0,23.043478260869566,-0.0434782608695663,182.0,180.2608695652174,1.739130434782595
3563,232,252,195,26.0,24.192307692307693,1.8076923076923066,185.0,181.53846153846155,3.461538461538453
3564,232,252,196,26.0,24.384615384615383,1.6153846153846168,187.0,182.3846153846154,4.615384615384613
3565,232,252,197,22.0,23.454545454545453,-1.4545454545454533,184.0,181.54545454545453,2.4545454545454675
3566,232,252,200,22.0,21.363636363636363,0.6363636363636367,160.0,159.3181818181818,0.681818181818187
3567,232,252,201,24.0,21.416666666666668,2.583333333333332,152.0,153.79166666666666,-1.7916666666666572
3568,232,252,202,22.0,20.181818181818183,1.8181818181818166,146.0,147.8181818181818,-1.818181818181813
3569,232,252,203,16.0,19.3125,-3.3125,140.0,145.5,-5.5
3570,232,253,192,11.0,20.363636363636363,-9.363636363636363,171.0,178.63636363636363,-7.636363636363626
3571,232,253,193,20.0,21.1,-1.1000000000000014,179.0,179.7,-0.6999999999999886
3572,232,253,194,23.0,24.17391304347826,-1.1739130434782616,184.0,182.91304347826087,1.0869565217391255
3573,232,253,195,26.0,24.96153846153846,1.03846153846154,188.0,184.34615384615384,3.6538461538461604
3574,232,253,196,26.0,25.423076923076923,0.5769230769230766,189.0,184.80769230769232,4.192307692307679
3575,232,253,197,24.0,24.875,-0.875,185.0,182.54166666666666,2.458333333333343
3576,232,253,198,22.0,24.181818181818183,-2.1818181818181834,177.0,176.86363636363637,0.13636363636362603
3577,232,253,199,22.0,23.90909090909091,-1.90909090909091,167.0,166.9090909090909,0.09090909090909349
3578,232,253,200,24.0,22.916666666666668,1.0833333333333321,157.0,158.0,-1.0
3579,232,253,201,22.0,22.227272727272727,-0.22727272727272663,149.0,153.0909090909091,-4.0909090909090935
3580,232,254,192,13.0,21.0,-8.0,172.0,177.76923076923077,-5.769230769230774
3581,232,254,193,20.0,21.85,-1.8500000000000014,179.0,180.6,-1.5999999999999943
