voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
149,78,174,22,9,17.5555555556,-8.55555555556,487.0,562.888888889,-75.8888888889
150,79,142,20,4,10.0,-6.0,622.0,712.5,-90.5
151,79,143,20,5,7.8,-2.8,626.0,674.0,-48.0
152,79,144,20,4,7.75,-3.75,555.0,680.25,-125.25
153,79,145,25,1,2.0,-1.0,768.0,719.0,49.0
154,79,146,22,2,1.5,0.5,607.0,545.0,62.0
155,79,147,22,2,1.5,0.5,569.0,593.5,-24.5
156,79,148,22,1,2.0,-1.0,580.0,569.0,11.0
157,79,151,22,3,5.33333333333,-2.33333333333,564.0,639.0,-75.0
158,79,152,22,6,4.83333333333,1.16666666667,586.0,610.333333333,-24.3333333333
159,79,153,20,4,8.5,-4.5,529.0,643.75,-114.75
160,79,153,22,6,5.5,0.5,627.0,597.833333333,29.1666666667
161,79,154,20,5,7.2,-2.2,559.0,615.4,-56.4
162,79,154,22,5,5.2,-0.2,608.0,599.8,8.2
163,79,155,20,4,7.75,-3.75,545.0,626.25,-81.25
164,79,157,20,5,10.4,-5.4,530.0,599.0,-69.0
165,79,158,20,8,12.125,-4.125,544.0,588.25,-44.25
166,79,159,20,11,14.6363636364,-3.63636363636,528.0,593.181818182,-65.1818181818
167,79,159,21,13,13.8461538462,-0.846153846154,583.0,576.230769231,6.76923076923
168,79,159,32,14,15.5,-1.5,633.0,647.857142857,-14.8571428571
169,79,159,33,10,16.8,-6.8,652.0,659.5,-7.5
170,79,160,20,13,16.9230769231,-3.92307692308,534.0,601.230769231,-67.2307692308
171,79,160,21,18,15.7222222222,2.27777777778,608.0,579.722222222,28.2777777778
172,79,160,22,12,16.5,-4.5,509.0,580.5,-71.5
173,79,160,31,13,18.1538461538,-5.15384615385,625.0,631.384615385,-6.38461538462
174,79,160,32,21,16.3333333333,4.66666666667,645.0,639.857142857,5.14285714286
175,79,160,33,14,17.8571428571,-3.85714285714,666.0,649.428571429,16.5714285714
176,79,161,20,14,18.4285714286,-4.42857142857,595.0,609.214285714,-14.2142857143
177,79,161,21,22,17.0454545455,4.95454545455,617.0,583.681818182,33.3181818182
178,79,161,22,16,17.875,-1.875,571.0,572.75,-1.75
179,79,161,31,15,18.5333333333,-3.53333333333,619.0,626.266666667,-7.26666666667
180,79,161,32,24,16.7916666667,7.20833333333,614.0,630.708333333,-16.7083333333
181,79,161,33,16,18.4375,-2.4375,635.0,637.9375,-2.9375
182,79,162,20,14,19.2142857143,-5.21428571429,631.0,627.5,3.5
183,79,162,21,23,18.652173913,4.34782608696,613.0,600.52173913,12.4782608696
184,79,162,22,20,19.5,0.5,542.0,585.65,-43.65
185,79,162,31,12,18.9166666667,-6.91666666667,586.0,627.75,-41.75
186,79,162,32,21,16.7142857143,4.28571428571,655.0,626.761904762,28.2380952381
187,79,162,33,16,17.5,-1.5,615.0,633.625,-18.625
188,79,163,20,14,18.9285714286,-4.92857142857,639.0,652.642857143,-13.6428571429
189,79,163,21,23,19.5652173913,3.4347826087,659.0,624.173913043,34.8260869565
190,79,163,22,23,20.8260869565,2.17391304348,557.0,614.565217391,-57.5652173913
191,79,163,23,17,19.8823529412,-2.88235294118,590.0,581.0,9.0
192,79,163,32,15,14.5333333333,0.466666666667,638.0,634.333333333,3.66666666667
193,79,163,33,13,14.6923076923,-1.69230769231,658.0,638.384615385,19.6153846154
194,79,164,20,14,18.9285714286,-4.92857142857,635.0,678.571428571,-43.5714285714
195,79,164,21,23,20.2608695652,2.73913043478,742.0,650.52173913,91.4782608696
196,79,164,22,26,21.6923076923,4.30769230769,644.0,646.5,-2.5
197,79,164,23,23,20.5217391304,2.47826086957,657.0,603.913043478,53.0869565217
198,79,164,24,14,19.3571428571,-5.35714285714,532.0,603.285714286,-71.2857142857
199,79,164,33,7,12.5714285714,-5.57142857143,667.0,643.428571429,23.5714285714
200,79,165,20,15,18.3333333333,-3.33333333333,628.0,673.2,-45.2
201,79,165,21,23,20.5217391304,2.47826086957,785.0,662.52173913,122.47826087
202,79,165,22,26,22.7307692308,3.26923076923,670.0,675.461538462,-5.46153846154
203,79,165,23,25,21.88,3.12,711.0,629.84,81.16
204,79,165,24,17,21.1176470588,-4.11764705882,603.0,630.764705882,-27.7647058824
205,79,166,20,15,18.3333333333,-3.33333333333,599.0,665.133333333,-66.1333333333
206,79,166,21,23,20.4347826087,2.5652173913,758.0,657.869565217,100.130434783
207,79,166,22,26,22.8846153846,3.11538461538,634.0,676.461538462,-42.4615384615
208,79,166,23,26,22.5,3.5,710.0,640.653846154,69.3461538462
209,79,166,24,20,21.95,-1.95,644.0,644.4,-0.4
210,79,167,20,15,17.8666666667,-2.86666666667,576.0,656.4,-80.4
211,79,167,21,23,19.9130434783,3.08695652174,714.0,654.304347826,59.6956521739
212,79,167,22,26,22.5384615385,3.46153846154,629.0,666.384615385,-37.3846153846
213,79,167,23,26,22.8461538462,3.15384615385,634.0,649.230769231,-15.2307692308
214,79,167,24,22,22.5909090909,-0.590909090909,672.0,649.727272727,22.2727272727
215,79,167,25,18,19.4444444444,-1.44444444444,634.0,635.055555556,-1.05555555556
216,79,167,26,9,18.6666666667,-9.66666666667,524.0,631.222222222,-107.222222222
217,79,168,20,14,18.0714285714,-4.07142857143,591.0,662.357142857,-71.3571428571
218,79,168,21,23,19.5652173913,3.4347826087,709.0,653.652173913,55.347826087
219,79,168,22,26,22.2307692308,3.76923076923,663.0,660.730769231,2.26923076923
220,79,168,23,26,22.8846153846,3.11538461538,625.0,655.961538462,-30.9615384615
221,79,168,24,23,22.9130434783,0.0869565217391,695.0,650.434782609,44.5652173913
